Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","3÷5V","Straight_2x03",142.6060,-108.1420,180.0000,top
"J2","ACX","Straight_1x02",156.0680,-88.8380,90.0000,top
"J3","~{ACX}","Straight_1x02",156.0680,-86.2980,90.0000,top
"J4","AIN1+","Straight_1x02",131.4935,-78.9320,0.0000,top
"J5","AIN1-","Straight_1x02",134.0335,-78.9320,0.0000,top
"J6","AIN2+","Straight_1x02",136.5735,-78.9320,0.0000,top
"J7","AIN2-","Straight_1x02",139.1135,-78.9320,180.0000,top
"J8","REFIN-","Straight_1x02",146.7485,-78.9305,180.0000,top
"J9","REFIN+","Straight_1x02",141.6535,-78.9320,180.0000,top
"J10","POL","Straight_1x03",139.0500,-98.2360,-90.0000,top
"J11","~{RESET}","Straight_1x02",125.5880,-86.5520,90.0000,top
"J12","~{SYNC}","Straight_1x02",125.5880,-89.0920,90.0000,top
"J13","~{RDY}","Straight_1x02",156.0680,-96.4580,90.0000,top
"J14","~{CS}","Straight_1x02",156.0680,-93.9180,90.0000,top
"J15","SCLK","Straight_1x02",125.5880,-96.7120,90.0000,top
"J16","DIN","Straight_1x02",156.0680,-101.5380,90.0000,top
"J17","DOUT","Straight_1x02",156.0680,-98.9980,90.0000,top
"J18","~{STANDBY}","Straight_1x02",156.0680,-91.3780,90.0000,top
"J19","+5V","Straight_2x03",137.5260,-108.1420,0.0000,top
"J20","MCLKIN","Straight_1x02",125.5880,-94.1720,90.0000,top
"J21","MCLKOUT","Straight_1x02",125.5880,-91.6320,90.0000,top
"J22","VAA","Straight_1x02",144.2085,-78.9305,0.0000,top
"J23","GND","Straight_1x02",149.2885,-78.9305,0.0000,top
"M1","HOLE","MountingHole_3mm",155.5600,-79.4400,0.0000,top
"M2","HOLE","MountingHole_3mm",155.5600,-109.9200,0.0000,top
"M3","HOLE","MountingHole_3mm",125.0800,-79.4400,0.0000,top
"M4","HOLE","MountingHole_3mm",125.0800,-109.9200,0.0000,top
"Y1","4.9152 MHz","Crystal_HC49-U_Vertical",131.3030,-95.1880,-90.0000,top
